dataset,designation,prob,label,Depth_ppm,P_days,Teff_K,Rp_Re,Dur_hr,Rstar_Rsun
KOI,K02793.01,0.9782608695652174,1.0,1932.5,4.49686066,3698.0,1.93,1.7306,0.444
KOI,K00898.02,0.9782608695652174,1.0,1037.4,5.169804269,3906.0,1.66,2.153,0.509
KOI,K03138.01,0.9782608695652174,1.0,1679.0,8.68910764,2703.0,0.49,1.1627,0.118
KOI,K02179.01,0.9782608695652174,1.0,944.9,14.87149773,3825.0,1.59,2.4076,0.524
KOI,K03144.01,0.9782608695652174,1.0,1056.0,8.07394097,3675.0,1.59,2.455,0.398
KOI,K00952.02,0.9782608695652174,1.0,1367.6,8.75209691,3731.0,1.83,2.3742,0.498
KOI,K00248.02,0.9782608695652174,1.0,1387.2,10.91274065,3834.0,2.13,2.1801,0.539
KOI,K05327.01,0.9782608695652174,1.0,1421.0,5.43361347,3694.0,2.09,1.0338,0.566
KOI,K00463.01,0.9782608695652174,1.0,2604.6,18.47762694,3395.0,1.55,1.94,0.283
KOI,K00222.02,0.9514563106796117,1.0,816.7,12.7945474,4090.0,1.6,3.4197,0.571
KOI,K00494.01,0.9514563106796117,1.0,1130.8,25.69581456,3787.0,1.7,4.0251,0.477
KOI,K00438.02,0.9514563106796117,1.0,1078.1,52.6615266,3984.0,1.87,3.1592,0.539
KOI,K00438.01,0.9514563106796117,1.0,1007.4,5.931196562,3984.0,2.01,2.4999,0.539
KOI,K00227.01,0.9514563106796117,1.0,2155.7,17.65737838,3745.0,2.45,3.509,0.47
KOI,K00253.02,0.9514563106796117,1.0,769.5,20.6180348,3757.0,1.57,3.267,0.576
KOI,K01146.01,0.9514563106796117,1.0,369.5,7.09712124,3569.0,0.74,2.1059,0.389
KOI,K01833.01,0.9514563106796117,1.0,763.3,3.69298623,4402.0,1.74,1.7744,0.572
KOI,K01649.01,0.9514563106796117,1.0,416.2,4.04355245,3871.0,1.75,1.965,0.532
KOI,K00250.01,0.9514563106796117,1.0,2794.7,12.282998287,3879.0,2.83,2.7096,0.537
KOI,K01838.01,0.9514563106796117,1.0,1147.0,16.7364755,4334.0,2.73,2.151,0.653
KOI,K06568.01,0.9514563106796117,1.0,166.0,6.27651592,3914.0,0.65,1.973,0.515
KOI,K04252.01,0.9514563106796117,1.0,173.5,15.5714121,3872.0,0.72,2.294,0.557
KOI,K02036.02,0.9514563106796117,1.0,334.3,5.79529495,3757.0,1.05,2.272,0.539
KOI,K03010.01,0.9514563106796117,1.0,714.3,60.8660974,3808.0,1.39,4.397,0.522
KOI,K01713.01,0.9514563106796117,1.0,545.8,6.82778157,4198.0,1.34,2.3726,0.574
KOI,K00676.02,0.9514563106796117,1.0,1723.2,2.453236139,3912.0,2.26,1.6691,0.533
KOI,K00500.03,0.9514563106796117,1.0,539.0,3.072146607,4041.0,1.3,1.8732,0.567
KOI,K00222.01,0.9514563106796117,1.0,1286.0,6.312508525,4090.0,2.0,2.7455,0.571
KOI,K00676.01,0.9514563106796117,1.0,3139.0,7.972510087,3912.0,3.22,2.9754,0.533
KOI,K03090.01,0.9514563106796117,1.0,362.7,3.82223397,3729.0,1.05,1.924,0.514
KOI,K00812.01,0.9514563106796117,1.0,1632.6,3.340218842,3950.0,2.03,1.9104,0.493
KOI,K00886.02,0.9514563106796117,1.0,759.2,12.07134205,3713.0,1.29,4.3224,0.47
KOI,K00500.02,0.9514563106796117,1.0,1491.3,9.521644639,4041.0,2.16,2.3569,0.567
KOI,K00500.01,0.9514563106796117,1.0,1480.1,7.053527145,4041.0,2.16,2.3982,0.567
KOI,K06471.01,0.9514563106796117,0.0,206.8,8.65311903,3929.0,0.85,1.273,0.55
KOI,K00817.01,0.9514563106796117,1.0,1182.3,23.96793669,3747.0,1.8,3.827,0.524
