dataset,designation,prob,label,Depth_ppm,Dur_hr,Rstar_Rsun,P_days,Rp_Re,Teff_K
KOI,K02793.01,0.9782608695652174,1.0,1932.5,1.7306,0.444,4.49686066,1.93,3698.0
KOI,K00898.02,0.9782608695652174,1.0,1037.4,2.153,0.509,5.169804269,1.66,3906.0
KOI,K03138.01,0.9782608695652174,1.0,1679.0,1.1627,0.118,8.68910764,0.49,2703.0
KOI,K02179.01,0.9782608695652174,1.0,944.9,2.4076,0.524,14.87149773,1.59,3825.0
KOI,K03144.01,0.9782608695652174,1.0,1056.0,2.455,0.398,8.07394097,1.59,3675.0
KOI,K00952.02,0.9782608695652174,1.0,1367.6,2.3742,0.498,8.75209691,1.83,3731.0
KOI,K00248.02,0.9782608695652174,1.0,1387.2,2.1801,0.539,10.91274065,2.13,3834.0
KOI,K05327.01,0.9782608695652174,1.0,1421.0,1.0338,0.566,5.43361347,2.09,3694.0
KOI,K00463.01,0.9782608695652174,1.0,2604.6,1.94,0.283,18.47762694,1.55,3395.0
KOI,K00222.02,0.9514563106796117,1.0,816.7,3.4197,0.571,12.7945474,1.6,4090.0
KOI,K00494.01,0.9514563106796117,1.0,1130.8,4.0251,0.477,25.69581456,1.7,3787.0
KOI,K00438.02,0.9514563106796117,1.0,1078.1,3.1592,0.539,52.6615266,1.87,3984.0
KOI,K00438.01,0.9514563106796117,1.0,1007.4,2.4999,0.539,5.931196562,2.01,3984.0
KOI,K00227.01,0.9514563106796117,1.0,2155.7,3.509,0.47,17.65737838,2.45,3745.0
KOI,K00253.02,0.9514563106796117,1.0,769.5,3.267,0.576,20.6180348,1.57,3757.0
KOI,K01146.01,0.9514563106796117,1.0,369.5,2.1059,0.389,7.09712124,0.74,3569.0
KOI,K01833.01,0.9514563106796117,1.0,763.3,1.7744,0.572,3.69298623,1.74,4402.0
KOI,K01649.01,0.9514563106796117,1.0,416.2,1.965,0.532,4.04355245,1.75,3871.0
KOI,K00250.01,0.9514563106796117,1.0,2794.7,2.7096,0.537,12.282998287,2.83,3879.0
KOI,K01838.01,0.9514563106796117,1.0,1147.0,2.151,0.653,16.7364755,2.73,4334.0
KOI,K06568.01,0.9514563106796117,1.0,166.0,1.973,0.515,6.27651592,0.65,3914.0
KOI,K04252.01,0.9514563106796117,1.0,173.5,2.294,0.557,15.5714121,0.72,3872.0
KOI,K02036.02,0.9514563106796117,1.0,334.3,2.272,0.539,5.79529495,1.05,3757.0
KOI,K03010.01,0.9514563106796117,1.0,714.3,4.397,0.522,60.8660974,1.39,3808.0
KOI,K01713.01,0.9514563106796117,1.0,545.8,2.3726,0.574,6.82778157,1.34,4198.0
KOI,K00676.02,0.9514563106796117,1.0,1723.2,1.6691,0.533,2.453236139,2.26,3912.0
KOI,K00500.03,0.9514563106796117,1.0,539.0,1.8732,0.567,3.072146607,1.3,4041.0
