dataset,designation,prob,label,Rstar_Rsun,Rp_Re,P_days,Depth_ppm,Teff_K,Dur_hr
KOI,K02793.01,0.9782608695652174,1.0,0.444,1.93,4.49686066,1932.5,3698.0,1.7306
KOI,K00898.02,0.9782608695652174,1.0,0.509,1.66,5.169804269,1037.4,3906.0,2.153
KOI,K03138.01,0.9782608695652174,1.0,0.118,0.49,8.68910764,1679.0,2703.0,1.1627
KOI,K02179.01,0.9782608695652174,1.0,0.524,1.59,14.87149773,944.9,3825.0,2.4076
KOI,K03144.01,0.9782608695652174,1.0,0.398,1.59,8.07394097,1056.0,3675.0,2.455
KOI,K00952.02,0.9782608695652174,1.0,0.498,1.83,8.75209691,1367.6,3731.0,2.3742
KOI,K00248.02,0.9782608695652174,1.0,0.539,2.13,10.91274065,1387.2,3834.0,2.1801
KOI,K05327.01,0.9782608695652174,1.0,0.566,2.09,5.43361347,1421.0,3694.0,1.0338
KOI,K00463.01,0.9782608695652174,1.0,0.283,1.55,18.47762694,2604.6,3395.0,1.94
KOI,K00222.02,0.9514563106796117,1.0,0.571,1.6,12.7945474,816.7,4090.0,3.4197
KOI,K00494.01,0.9514563106796117,1.0,0.477,1.7,25.69581456,1130.8,3787.0,4.0251
KOI,K00438.02,0.9514563106796117,1.0,0.539,1.87,52.6615266,1078.1,3984.0,3.1592
KOI,K00438.01,0.9514563106796117,1.0,0.539,2.01,5.931196562,1007.4,3984.0,2.4999
KOI,K00227.01,0.9514563106796117,1.0,0.47,2.45,17.65737838,2155.7,3745.0,3.509
KOI,K00253.02,0.9514563106796117,1.0,0.576,1.57,20.6180348,769.5,3757.0,3.267
KOI,K01146.01,0.9514563106796117,1.0,0.389,0.74,7.09712124,369.5,3569.0,2.1059
KOI,K01833.01,0.9514563106796117,1.0,0.572,1.74,3.69298623,763.3,4402.0,1.7744
KOI,K01649.01,0.9514563106796117,1.0,0.532,1.75,4.04355245,416.2,3871.0,1.965
KOI,K00250.01,0.9514563106796117,1.0,0.537,2.83,12.282998287,2794.7,3879.0,2.7096
KOI,K01838.01,0.9514563106796117,1.0,0.653,2.73,16.7364755,1147.0,4334.0,2.151
KOI,K06568.01,0.9514563106796117,1.0,0.515,0.65,6.27651592,166.0,3914.0,1.973
KOI,K04252.01,0.9514563106796117,1.0,0.557,0.72,15.5714121,173.5,3872.0,2.294
KOI,K02036.02,0.9514563106796117,1.0,0.539,1.05,5.79529495,334.3,3757.0,2.272
KOI,K03010.01,0.9514563106796117,1.0,0.522,1.39,60.8660974,714.3,3808.0,4.397
KOI,K01713.01,0.9514563106796117,1.0,0.574,1.34,6.82778157,545.8,4198.0,2.3726
KOI,K00676.02,0.9514563106796117,1.0,0.533,2.26,2.453236139,1723.2,3912.0,1.6691
KOI,K00500.03,0.9514563106796117,1.0,0.567,1.3,3.072146607,539.0,4041.0,1.8732
KOI,K00222.01,0.9514563106796117,1.0,0.571,2.0,6.312508525,1286.0,4090.0,2.7455
KOI,K00676.01,0.9514563106796117,1.0,0.533,3.22,7.972510087,3139.0,3912.0,2.9754
KOI,K03090.01,0.9514563106796117,1.0,0.514,1.05,3.82223397,362.7,3729.0,1.924
KOI,K00812.01,0.9514563106796117,1.0,0.493,2.03,3.340218842,1632.6,3950.0,1.9104
KOI,K00886.02,0.9514563106796117,1.0,0.47,1.29,12.07134205,759.2,3713.0,4.3224
